SRR5149616,Tibetan Sheep
dss001,dss001-unknown
dss002,dss002-unknown
dss003,dss003-unknown
dss004,4Q57 frg. 7V
dss005,4Q57 frg. 6V
dss006,4Q57 frg. 9V
dss011,4Q72a
dss013,4Q71-nt
dss014,4Q71-t
dss020,Mas1k
dss030,4Q404 frg. 5V
dss031,4Q404 frg. 8V
dss032,4Q404 frg. 9V
dss036,4Q405-36
dss038,NewScroll-38
dss039,NewScroll-39
dss040,NewScroll-40
dss042,4Q59 frg. 25
dss043,4Q37 frg. 25
dss044,4Q37 frg. 28
dss045,4Q344
dss046,Hev/Se6
dss048,garment-99-9035
dss052,WS4
dss053,WS7
dss054,WS(4or7)
dss216,4Q57 frg. 25
dss316,4Q57 frg. 12
dss518,4Q405-518
dss565,11Q17
